Year,Male,Female
1915,6,0
1916,20,2
1917,9,0
1918,5,0
1919,10,1
1920,6,1
1921,8,0
1922,14,3
1923,14,0
1924,15,2
1925,8,1
1926,12,2
1927,15,0
1928,16,2
1929,25,2
1930,18,0
1931,21,1
1932,19,2
1933,15,1
1934,22,3
1935,24,1
1936,25,1
1937,24,0
1938,16,0
1939,16,0
1940,17,0
1941,18,0
1942,24,2
1943,20,0
1944,22,1
1945,12,0
1946,20,1
1947,25,0
1948,22,1
1949,19,1
1950,25,0
1951,21,2
1952,22,1
1953,25,4
1954,29,0
1955,32,2
1956,36,1
1957,26,2
1958,36,2
1959,69,5
1960,75,5
1961,65,3
1962,77,2
1963,48,6
1964,61,2
1965,41,1
1966,47,7
1967,39,2
1968,37,2
1969,27,0
1970,32,1
1971,21,2
1972,25,2
1973,22,0
1974,30,3
1975,37,5
1976,35,2
1977,26,0
1978,20,0
1979,24,0
1980,23,5
1981,45,3
1982,29,7
1983,41,5
1984,31,7
1985,31,4
1986,34,2
1987,28,4
1988,47,6
1989,46,3
1990,33,4
1991,32,5
1992,48,5
1993,42,8
1994,44,6
1995,60,10
1996,50,2
1997,47,7
1998,53,5
1999,50,8
2000,89,12
2001,77,12
2002,75,9
2003,77,12
2004,74,14
2005,82,14
2006,78,16
2007,67,30
2008,95,13
2009,93,16
2010,71,22
2011,101,13
2012,94,18
2013,98,17
2014,95,21
